Account Name,Deal Stage,Amount,Close Date,Created Date,Owner,Industry,Region
"Levine, Porter and Reed",Proposal,23835.69,11/9/2025,1/18/2025,Spencer Stanley,Manufacturing,Europe
Tyler Group,negotiation,87809.63,10/27/2025,4/20/2025,,Healthcare,South America
Johnson Ltd,,27703.11,5/2/2026,4/1/2025,,Manufacturing,Asia
Jackson-Simon,prospecting,25078.63,9/13/2026,1/29/2025,Craig Johnson,Retail,Asia
"Griffith, Mejia and Rodriguez",closed won,56772.22,11/30/2026,2/15/2025,Kristen Obrien,Finance,North America
"Mcgrath, Salazar and Perez",QUALIFICATION,76488.56,4/13/2026,5/23/2025,Brittany Chaney,Retail,Europe
Cabrera-Blake,prospecting,39724.74,10/15/2025,1/1/2025,Jonathan Patterson,,North America
"Thompson, Nelson and Peterson",Qualification,79325.99,5/30/2026,5/3/2025,Kimberly Morgan,Education,Europe
Green LLC,PROSPECTING,48342.09,1/6/2026,3/20/2025,Michael Horton,Finance,Europe
Sweeney-Graves,Proposal,87836.76,4/11/2026,3/21/2025,James Burke,Healthcare,Europe
Tucker and Sons,Qualification,1916.27,2/21/2026,3/25/2025,James Burke,Technology,
"Mills, Moran and Strickland",qualification,14974.76,6/13/2026,2/26/2025,David Potter,Manufacturing,South America
"Lynch, Johnson and Hester",CLOSED WON,3018.75,5/15/2026,4/17/2025,Michael Horton,Technology,Europe
Lyons Inc,Closed Won,,7/24/2026,3/30/2025,Mark Lopez,Retail,South America
Campbell-Hanson,Closed Lost,33160.68,5/22/2026,1/5/2025,Kristen Obrien,Manufacturing,South America
Larson-Erickson,NEGOTIATION,28088.4,8/2/2026,1/25/2025,Martin Johnston,Manufacturing,Europe
"Oliver, Beltran and Anderson",proposal,92236.11,3/30/2026,3/5/2025,Traci Bell DDS,Healthcare,South America
Campbell-Hanson,proposal,23790.51,,5/28/2025,,Healthcare,North America
Lyons Inc,Closed Won,47738.38,10/22/2025,1/5/2025,Kathleen Harris,Technology,North America
,PROSPECTING,19734.83,1/19/2026,4/19/2025,Spencer Stanley,Technology,South America
Robinson Ltd,Prospecting,"$68,094.31 ",4/27/2026,2/18/2025,Denise Lee,Education,South America
Parks Inc,Proposal,14482.78,6/15/2026,2/16/2025,Kathleen Harris,Education,Europe
Schroeder and Sons,Closed Won,16957.73,5/16/2026,1/25/2025,,Retail,Europe
Miller Group,,17262.08,,1/23/2025,Jennifer Cox,Healthcare,Europe
"Sexton, Williams and Solis",Prospecting,49373.2,11/27/2025,5/6/2025,Yvette Griffith,Healthcare,South America
Bates Ltd,Closed Won,54901.22,6/25/2026,2/7/2025,Ryan Mann,Manufacturing,South America
Gallagher-Ellis,closed lost,78707.26,4/5/2026,3/3/2025,Jonathan Patterson,Manufacturing,Europe
,proposal,,5/1/2026,3/25/2025,James Burke,Healthcare,North America
Cabrera-Blake,Prospecting,62112.25,7/9/2026,4/2/2025,Mark Lopez,Technology,Asia
Sweeney-Graves,Negotiation,70853.4,8/2/2026,,Robert Moore,Finance,Europe
Schultz-Waller,prospecting,55321.66,10/20/2026,4/16/2025,Denise Lee,Education,South America
Rodriguez Inc,CLOSED WON,,12/8/2026,5/18/2025,Catherine Ray,Finance,South America
Schroeder and Sons,PROPOSAL,16876.32,3/24/2026,2/2/2025,Martin Johnston,Retail,North America
"Pearson, James and Wagner",Closed Lost,,10/19/2026,1/2/2025,Mark Lopez,Finance,South America
Terry-Baldwin,prospecting,49719.84,6/4/2026,5/14/2025,Marissa Perry,Technology,Asia
Knight-Wilcox,qualification,59009.98,9/20/2026,4/19/2025,Kathleen Harris,Healthcare,Europe
"Levine, Porter and Reed",Prospecting,90232.77,8/26/2026,3/20/2025,Rebecca Spence,Education,Asia
Sanchez Inc,NEGOTIATION,42169.35,11/27/2026,1/8/2025,David Rocha,Technology,Europe
Tucker LLC,,64829.68,4/28/2026,4/16/2025,Robert Moore,Technology,Asia
"Kaufman, Abbott and Mendez",Closed Lost,6176.01,3/25/2026,5/3/2025,Bradley Macdonald,Healthcare,Europe
Parker-Brown,Closed Lost,2544.02,12/26/2025,1/15/2025,Kristen Obrien,,South America
,qualification,,5/28/2026,3/3/2025,Traci Bell DDS,Retail,Asia
,Qualification,19435.33,5/19/2026,4/1/2025,Yvette Griffith,Retail,Europe
Kennedy-Thornton,CLOSED LOST,,10/30/2025,2/25/2025,Richard Warren,Finance,North America
Green Inc,CLOSED LOST,53942.24,10/31/2025,5/19/2025,Jessica Ball,Finance,South America
Orr Ltd,Proposal,55709.85,10/21/2025,5/18/2025,Bradley Macdonald,Finance,South America
,Closed Won,79425.66,1/24/2026,1/21/2025,Amanda Owens,Manufacturing,Europe
"Fisher, Sweeney and Newman",negotiation,12662.18,5/6/2026,3/27/2025,Alexandra Ramos,Manufacturing,North America
Miller Group,Negotiation,20421.38,,5/3/2025,Mark Lopez,Healthcare,Europe
Tucker LLC,Closed Lost,45818.09,10/8/2025,2/25/2025,Martin Johnston,Manufacturing,Asia
Castaneda-Phillips,PROPOSAL,32127.08,11/5/2025,3/20/2025,Richard Warren,Education,Europe
Black Group,prospecting,28199.97,10/12/2025,1/10/2025,Rebecca Spence,Retail,North America
Green Inc,Qualification,18397.36,5/11/2026,3/13/2025,,Education,
"Cole, Fischer and Adams",proposal,24519.85,3/28/2026,4/13/2025,Spencer Stanley,Healthcare,Asia
Bates Ltd,PROSPECTING,83184.4,,1/30/2025,Catherine Ray,Healthcare,North America
"Hoffman, Thomas and Hawkins",Negotiation,42657.24,8/15/2026,1/2/2025,,Education,North America
"Pearson, James and Wagner",qualification,46984.73,6/20/2026,3/31/2025,Robert Moore,Finance,
Richardson LLC,QUALIFICATION,24029.6,10/24/2026,3/19/2025,Yvette Griffith,Manufacturing,North America
Lane-Price,Negotiation,97378.8,11/7/2025,3/29/2025,Amanda Owens,Retail,Asia
Wright-Moran,proposal,95337.78,4/19/2026,4/11/2025,Kathleen Harris,Technology,Asia
"Crane, Spears and Adams",,33125.1,4/12/2026,3/25/2025,Richard Warren,Healthcare,Europe
Larson-Erickson,Closed Won,94727.04,12/17/2026,5/25/2025,Denise Lee,Technology,
"Gonzalez, Jarvis and Cohen",prospecting,,7/24/2026,2/2/2025,Spencer Stanley,Finance,Asia
Jimenez Ltd,Closed Won,51361.56,12/7/2026,3/8/2025,James Burke,Education,Asia
Terry-Baldwin,Qualification,23925.93,8/6/2026,1/2/2025,Kimberly Morgan,Retail,Europe
Richardson LLC,Negotiation,71823.97,3/2/2026,2/27/2025,Kathleen Harris,Retail,Asia
,Closed Won,89587.64,1/25/2026,,Robert Moore,Retail,Asia
"Lynch, Johnson and Hester",Prospecting,15566.32,10/2/2026,4/22/2025,James Burke,Finance,North America
Parks Inc,proposal,50331.36,2/7/2026,,David Rocha,Education,North America
,Closed Lost,17684.19,10/4/2026,2/27/2025,Ryan Mann,Healthcare,North America
Compton Inc,Closed Lost,83149.01,4/15/2026,2/27/2025,Kathleen Harris,Manufacturing,Asia
Hurst and Sons,closed won,33359.02,7/14/2026,4/27/2025,Jennifer Cox,Retail,South America
Lyons Inc,CLOSED LOST,36284.44,8/18/2026,1/11/2025,Robert Moore,Technology,North America
"Allen, Richardson and Nguyen",closed won,97295,9/13/2026,4/21/2025,David Potter,Retail,South America
Rodriguez Inc,negotiation,24641.94,4/8/2026,5/6/2025,Michael Horton,Finance,Europe
"Sexton, Williams and Solis",negotiation,36816.14,2/27/2026,3/17/2025,Kimberly Morgan,,Europe
Romero PLC,Prospecting,10008.53,8/29/2026,1/25/2025,Martin Johnston,Retail,Europe
Brown-Mcpherson,qualification,15261.02,11/13/2025,5/1/2025,Catherine Ray,Healthcare,South America
"Oliver, Beltran and Anderson",qualification,63111.29,2/15/2026,5/21/2025,Jason Hudson,Healthcare,Asia
Compton Inc,CLOSED LOST,9793.74,5/23/2026,3/14/2025,,Technology,North America
Kennedy-Thornton,,15436.69,12/7/2025,1/4/2025,,Technology,Asia
"Cole, Fischer and Adams",CLOSED WON,82919.51,3/11/2026,4/28/2025,Amanda Owens,Technology,South America
Newman Ltd,negotiation,62953.62,11/20/2026,5/30/2025,Nicole Curtis,,Europe
"Lynch, Johnson and Hester",Prospecting,62837.11,9/3/2026,3/1/2025,David Potter,Retail,South America
Holland-Matthews,Qualification,74411.35,10/11/2025,4/21/2025,Jason Hudson,Finance,North America
Brooks LLC,NEGOTIATION,24963.69,10/26/2026,2/21/2025,Kristen Obrien,Technology,Asia
"Davis, Woods and Lewis",QUALIFICATION,7075.2,11/12/2026,4/24/2025,Spencer Stanley,Technology,Europe
"Levine, Porter and Reed",Closed Won,94715.31,4/13/2026,4/2/2025,Richard Warren,Manufacturing,Asia
"Cole, Fischer and Adams",Closed Won,47737.82,4/4/2026,1/31/2025,Miss Dorothy Collins DVM,Manufacturing,Europe
Wilson and Sons,PROPOSAL,60552.58,1/7/2026,2/11/2025,Denise Lee,Finance,North America
Martin-Hernandez,Negotiation,20047.01,11/7/2025,,Alexandra Ramos,Technology,Asia
"Page, Morris and Rosales",closed lost,52316.15,11/7/2026,2/15/2025,Nicole Curtis,Manufacturing,North America
Campbell-Hanson,Closed Lost,75519.41,,4/11/2025,Rebecca Spence,Technology,
Lane-Price,Negotiation,28842.85,10/2/2026,3/17/2025,Kimberly Morgan,Education,Asia
Paul Ltd,Qualification,94607.45,3/28/2026,1/4/2025,Jennifer Cox,Education,South America
Pineda Ltd,qualification,"$88,770.14 ",11/13/2025,,Brittany Chaney,Finance,Asia
"Marshall, Combs and Johnson",negotiation,37215.64,7/10/2026,4/7/2025,Mark Lopez,Technology,
Davis and Sons,closed won,82191.9,3/22/2026,1/17/2025,Michael Horton,Manufacturing,Asia
Schroeder and Sons,Qualification,,1/8/2026,2/8/2025,Craig Johnson,Healthcare,North America
"Levine, Porter and Reed",proposal,86114.48,7/11/2026,2/11/2025,Kimberly Morgan,Healthcare,Asia
"Johnson, Brown and Robinson",Proposal,69305.39,9/22/2026,3/11/2025,Catherine Ray,Retail,Europe
"Patton, Mann and Chen",CLOSED LOST,94511.15,11/18/2025,4/29/2025,Jennifer Cox,Technology,Europe
"Johnson, Brown and Robinson",PROSPECTING,15187.21,8/21/2026,5/28/2025,Denise Lee,Manufacturing,Europe
Smith-Moore,PROPOSAL,23517.15,10/15/2026,5/6/2025,Yvette Griffith,Education,North America
"Johnson, Brown and Robinson",closed won,7928.21,2/27/2026,2/8/2025,Denise Lee,Education,South America
Larson-Erickson,Prospecting,60544.12,6/9/2026,3/15/2025,Brittany Chaney,Healthcare,Asia
Robinson Ltd,CLOSED LOST,62378.96,11/16/2025,4/11/2025,David Rocha,Finance,Asia
"Moreno, Griffin and Lewis",Prospecting,23396.54,1/28/2026,2/10/2025,Spencer Stanley,Healthcare,North America
Terry-Baldwin,Proposal,55175.06,4/21/2026,3/29/2025,Catherine Ray,Education,North America
Spencer-Wright,,87023.38,12/13/2026,2/20/2025,Richard Warren,Healthcare,North America
Carlson-Brown,qualification,,10/19/2026,4/29/2025,David Potter,Retail,Asia
Ross-Sparks,qualification,89850.93,8/18/2026,1/9/2025,Catherine Ray,Technology,
Tucker LLC,Negotiation,24451.29,10/9/2025,4/28/2025,Kristen Obrien,Technology,Europe
Robinson Ltd,Closed Lost,"$52,314.22 ",6/1/2026,5/19/2025,Martin Johnston,Manufacturing,South America
Ross-Sparks,PROPOSAL,90129.5,4/25/2026,,David Rocha,Healthcare,Europe
Mclaughlin Inc,PROPOSAL,28696.75,,3/1/2025,Alexandra Ramos,Healthcare,North America
Larson-Erickson,Closed Lost,"$2,364.43 ",12/18/2026,4/26/2025,Martin Johnston,Education,Europe
Tyler Group,Qualification,89550.42,10/30/2026,2/6/2025,David Potter,Healthcare,Europe
"Mcgrath, Salazar and Perez",Prospecting,40246.04,11/26/2025,4/26/2025,Jonathan Patterson,Retail,North America
Lang-Freeman,Prospecting,49707.04,8/28/2026,3/1/2025,,Education,Asia
Rogers-Rhodes,Closed Lost,83473.13,1/23/2026,5/3/2025,Kristen Obrien,Retail,North America
Castaneda-Phillips,negotiation,7786.4,10/24/2025,1/16/2025,Jennifer Cox,,South America
"Mcgrath, Salazar and Perez",Negotiation,78417.54,10/15/2025,1/7/2025,Martin Johnston,Education,Asia
"Sosa, Scott and Goodwin",Negotiation,35140.87,5/24/2026,4/2/2025,Catherine Ray,Manufacturing,South America
Gallagher-Ellis,CLOSED WON,31356.43,2/2/2026,,Traci Bell DDS,Education,Asia
Ross-Sparks,Closed Won,8563.7,12/21/2026,5/9/2025,David Potter,Technology,South America
"Moreno, Griffin and Lewis",NEGOTIATION,25936.39,9/6/2026,1/1/2025,Ryan Mann,Manufacturing,Asia
"Villegas, Gomez and Ortiz",Closed Lost,"$13,059.59 ",12/26/2025,5/12/2025,Jennifer Cox,Technology,Europe
Mclaughlin Inc,Proposal,50363.7,10/13/2025,2/8/2025,Brittany Chaney,Finance,Asia
"Sosa, Scott and Goodwin",Closed Lost,60511.61,11/12/2025,4/9/2025,Martin Johnston,,Asia
Davis and Sons,Closed Won,,8/3/2026,4/29/2025,Miss Dorothy Collins DVM,Technology,North America
Gallagher-Ellis,closed lost,80938.53,12/4/2025,3/19/2025,Richard Warren,Technology,North America
Schroeder and Sons,PROSPECTING,83322.25,,3/10/2025,Michael Horton,Manufacturing,Europe
"Allen, Richardson and Nguyen",prospecting,3290.34,8/31/2026,3/3/2025,Miss Dorothy Collins DVM,Finance,South America
Mclaughlin Inc,Proposal,98054.46,3/22/2026,4/26/2025,Alexandra Ramos,Education,North America
Jackson-Simon,Prospecting,46550.68,11/17/2025,3/4/2025,James Burke,Healthcare,Asia
Knight-Wilcox,NEGOTIATION,36396.41,12/7/2025,3/31/2025,,Healthcare,Europe
Schultz-Waller,negotiation,48420.22,10/21/2026,,Richard Warren,Finance,Asia
"Griffith, Mejia and Rodriguez",Proposal,80382.23,9/14/2026,2/7/2025,Spencer Stanley,Manufacturing,Europe
Newman Ltd,proposal,85000.34,12/28/2025,5/28/2025,Miss Dorothy Collins DVM,Manufacturing,Asia
"Patton, Mann and Chen",CLOSED WON,32853.3,3/1/2026,4/3/2025,Craig Johnson,Manufacturing,South America
Robinson Ltd,Negotiation,87272.79,5/15/2026,4/16/2025,Kristen Obrien,Healthcare,South America
Nichols Ltd,Prospecting,4288.02,4/1/2026,1/3/2025,Michael Horton,Manufacturing,Asia
Grant-Phillips,Prospecting,57994.22,9/19/2026,2/5/2025,Jennifer Cox,Education,South America
Rodriguez Group,Negotiation,5378.87,4/26/2026,3/5/2025,Catherine Ray,Technology,Europe
Lang-Freeman,negotiation,70676.88,1/13/2026,1/5/2025,Kathleen Harris,Education,North America
"Levine, Porter and Reed",Closed Lost,52196.9,,4/3/2025,Catherine Ray,Healthcare,Asia
Liu-Malone,Proposal,52798.69,,1/3/2025,Jason Hudson,Education,North America
Carlson-Brown,Proposal,41583.27,4/24/2026,5/27/2025,Jason Hudson,Technology,South America
"Patton, Mann and Chen",qualification,52096.78,11/10/2026,2/4/2025,Traci Bell DDS,Retail,Europe
Parks Inc,closed lost,,3/7/2026,1/16/2025,Spencer Stanley,Finance,South America
Harrell and Sons,Closed Lost,3747.07,12/19/2025,4/20/2025,Craig Johnson,Technology,North America
"Kaufman, Abbott and Mendez",Prospecting,27144.31,10/29/2026,5/10/2025,Jonathan Patterson,Retail,Asia
,CLOSED WON,51174.07,11/21/2026,4/13/2025,Richard Warren,Manufacturing,North America
Lyons Inc,Closed Won,49509.55,1/31/2026,2/24/2025,Amanda Owens,Retail,
"Johnson, Brown and Robinson",Closed Won,32537.84,4/19/2026,2/28/2025,Ryan Mann,Technology,North America
Bolton-Curry,proposal,75299.16,11/13/2026,3/11/2025,Jason Hudson,Finance,Asia
"Patton, Mann and Chen",prospecting,64492.68,,2/14/2025,Nicole Curtis,Finance,South America
"Smith, Grant and Allen",Prospecting,99243.06,,3/31/2025,Denise Lee,Finance,Asia
"Kaufman, Abbott and Mendez",Prospecting,70367.05,5/5/2026,3/16/2025,Kathleen Harris,Technology,Asia
Knight-Wilcox,Prospecting,72766.12,8/19/2026,,David Potter,Manufacturing,Europe
Cabrera-Blake,CLOSED WON,3477.99,11/12/2026,4/20/2025,Jonathan Patterson,Retail,
"Miles, Alvarado and Bauer",CLOSED WON,32889.39,3/21/2026,2/5/2025,Jason Hudson,Retail,Asia
Jackson-Simon,Proposal,61771.01,6/26/2026,1/4/2025,Catherine Ray,Technology,Europe
Jones-Wilson,PROSPECTING,18779.23,10/5/2026,5/18/2025,Yvette Griffith,Education,Europe
Richardson LLC,closed lost,50435.7,4/29/2026,1/10/2025,Alexandra Ramos,Education,Europe
Graham-Simon,Proposal,57904.03,10/7/2026,5/18/2025,Rebecca Spence,Finance,Europe
Larson-Erickson,Closed Won,4682.67,10/12/2025,3/8/2025,Denise Lee,Manufacturing,North America
Ramirez PLC,,56077.27,7/15/2026,4/23/2025,David Potter,Manufacturing,South America
Gallagher-Ellis,Qualification,91362.74,6/29/2026,4/7/2025,James Burke,Retail,Asia
Hurst and Sons,Proposal,63953.49,12/23/2026,5/5/2025,Jason Hudson,Manufacturing,Asia
Gallagher-Ellis,Negotiation,50716.8,11/4/2025,1/10/2025,Nicole Curtis,Finance,South America
Meyer-Kelly,QUALIFICATION,,6/18/2026,5/22/2025,Traci Bell DDS,,Europe
Campbell-Hanson,Proposal,82406.83,9/29/2026,3/29/2025,Kristen Obrien,Retail,Asia
Rogers-Rhodes,Prospecting,53790.7,11/8/2025,4/27/2025,Brittany Chaney,Technology,North America
Parker-Brown,Closed Lost,96779.77,10/26/2025,4/25/2025,Denise Lee,,South America
Newman Ltd,closed lost,21107.05,1/4/2026,4/27/2025,Yvette Griffith,Healthcare,Europe
Green LLC,proposal,50985.49,8/1/2026,3/30/2025,James Burke,Technology,Europe
Sanchez Inc,CLOSED LOST,89296.25,4/16/2026,4/29/2025,Martin Johnston,Finance,Europe
Williams Ltd,,,10/15/2025,5/1/2025,Richard Warren,Healthcare,South America
Kennedy-Thornton,qualification,56452.56,9/28/2026,3/20/2025,Kathleen Harris,Finance,South America
Spencer-Wright,closed lost,75354.36,12/28/2026,1/6/2025,Traci Bell DDS,Healthcare,Europe
Newman Ltd,Proposal,38195.01,,1/10/2025,Denise Lee,Healthcare,Asia
Hurst and Sons,qualification,55542.07,11/12/2025,3/1/2025,David Rocha,Technology,Europe
Black Group,qualification,22397.83,12/16/2025,5/4/2025,Robert Moore,Education,Asia
Tyler Group,Negotiation,46483.44,10/17/2026,5/4/2025,Bradley Macdonald,Technology,Asia
,Proposal,34377.41,4/6/2026,1/6/2025,Bradley Macdonald,Retail,Asia
Nichols Ltd,Negotiation,83303.33,11/1/2026,5/11/2025,,Healthcare,Asia
"Crane, Spears and Adams",proposal,98102.48,,5/6/2025,Ryan Mann,Education,Asia
Mclaughlin Inc,,92930.67,4/14/2026,5/30/2025,Mark Lopez,Technology,Europe
"Mcgrath, Salazar and Perez",,51885.88,5/24/2026,2/13/2025,Martin Johnston,Finance,South America
Romero PLC,Prospecting,65144.31,12/7/2026,5/9/2025,Jessica Ball,Education,Europe
Brooks LLC,PROSPECTING,83572.71,12/17/2025,3/27/2025,Amanda Owens,Healthcare,
"Lynch, Johnson and Hester",QUALIFICATION,72028.41,4/28/2026,3/11/2025,Bradley Macdonald,Finance,South America
Johnson Ltd,closed lost,26519.95,3/14/2026,5/25/2025,Alexandra Ramos,Healthcare,Asia
Bolton-Curry,qualification,47413.33,9/3/2026,5/1/2025,Bradley Macdonald,Healthcare,Europe
Gallagher-Ellis,Closed Lost,91036.07,8/16/2026,3/1/2025,Kathleen Harris,Education,Europe
Williams Ltd,Proposal,84605.63,12/20/2026,4/1/2025,Amanda Owens,Manufacturing,South America
"Miles, Alvarado and Bauer",Qualification,84882.83,4/16/2026,5/30/2025,Ryan Mann,Manufacturing,South America
Sweeney-Graves,QUALIFICATION,30791.82,10/18/2025,6/1/2025,Martin Johnston,Finance,North America
,CLOSED WON,23958.6,7/25/2026,5/8/2025,Denise Lee,Technology,North America
Pineda Ltd,prospecting,8464.34,3/30/2026,1/21/2025,Craig Johnson,Healthcare,Asia
"Crane, Spears and Adams",Closed Lost,14144.44,12/25/2025,3/2/2025,Amanda Owens,Healthcare,North America
"Marshall, Combs and Johnson",Proposal,5338.98,2/26/2026,4/24/2025,Jonathan Patterson,Healthcare,North America
Rodriguez Group,Closed Lost,56275.48,4/24/2026,3/23/2025,,Manufacturing,South America
Romero PLC,negotiation,95808.13,12/22/2025,2/28/2025,Rebecca Spence,Manufacturing,North America
Mclaughlin Inc,NEGOTIATION,47918.32,10/8/2025,3/30/2025,Robert Moore,,North America
,Closed Won,2563.26,5/15/2026,4/17/2025,Catherine Ray,Finance,Asia
Mclaughlin Inc,proposal,3350.03,1/10/2026,2/28/2025,Traci Bell DDS,Education,North America
Black Group,closed lost,,5/13/2026,1/7/2025,Richard Warren,Education,North America
"Crane, Spears and Adams",CLOSED WON,97342.76,10/5/2025,4/3/2025,Michael Horton,Manufacturing,North America
"Gonzalez, Jarvis and Cohen",Closed Lost,6060.66,11/3/2026,1/24/2025,Bradley Macdonald,Technology,Asia
Knight-Wilcox,Qualification,13604.63,2/9/2026,1/22/2025,David Potter,Manufacturing,Asia
Spencer-Wright,Closed Won,6362,2/28/2026,2/4/2025,Spencer Stanley,Retail,South America
Sweeney-Graves,negotiation,52263.04,1/12/2026,3/25/2025,Brittany Chaney,Technology,Europe
"Burke, Gonzalez and Mcknight",,67256.23,2/25/2026,3/19/2025,Kristen Obrien,Finance,
Kennedy-Thornton,CLOSED LOST,9409.55,8/11/2026,3/5/2025,Marissa Perry,Finance,Europe
Compton Inc,negotiation,11546.65,,3/24/2025,Ryan Mann,,Asia
Green LLC,closed won,83625.59,10/30/2026,5/5/2025,Robert Moore,Manufacturing,Europe
Jimenez Ltd,Closed Lost,82794.83,2/16/2026,1/1/2025,Marissa Perry,Education,Europe
Bates Ltd,,89318.71,3/21/2026,,Kimberly Morgan,Education,Europe
Nichols Ltd,CLOSED LOST,87282.97,11/7/2026,5/5/2025,Craig Johnson,Finance,North America
"Carpenter, Hutchinson and Vance",CLOSED WON,50679.72,12/18/2026,5/8/2025,Denise Lee,Manufacturing,Asia
"Crane, Spears and Adams",Qualification,,4/24/2026,4/4/2025,Denise Lee,,Asia
,Qualification,90478.29,2/26/2026,3/24/2025,David Potter,Education,North America
Harrell and Sons,Negotiation,82907.93,7/8/2026,1/28/2025,Ryan Mann,Retail,Europe
Parks Inc,QUALIFICATION,94234.59,12/5/2026,5/1/2025,Richard Warren,Technology,Asia
"Villegas, Gomez and Ortiz",Closed Won,39250.05,1/6/2026,4/24/2025,Nicole Curtis,Retail,South America
"Mcgrath, Salazar and Perez",negotiation,1372.98,11/9/2025,1/6/2025,Craig Johnson,Retail,South America
Rodriguez Group,Closed Won,60745.32,9/7/2026,4/1/2025,Spencer Stanley,Technology,Europe
"Oliver, Beltran and Anderson",qualification,11352.26,3/30/2026,5/16/2025,Martin Johnston,Education,Europe
Graham-Simon,CLOSED WON,60770.64,5/19/2026,2/18/2025,Michael Horton,Education,
"Davis, Woods and Lewis",,"$44,169.22 ",11/8/2025,,Traci Bell DDS,Technology,South America
Ross-Sparks,,23204.2,1/12/2026,4/22/2025,David Rocha,Finance,Europe
Robinson Ltd,QUALIFICATION,35783.08,10/3/2026,5/22/2025,Michael Horton,Manufacturing,North America
Grant-Phillips,Closed Won,60036.09,12/23/2026,2/12/2025,David Rocha,Technology,Europe
Holland-Matthews,PROSPECTING,25858.76,10/28/2026,5/3/2025,Alexandra Ramos,Manufacturing,Asia
"Fisher, Sweeney and Newman",qualification,80583.89,11/19/2025,4/14/2025,Marissa Perry,Finance,
"Burke, Gonzalez and Mcknight",closed lost,69689.4,4/4/2026,1/10/2025,Kristen Obrien,Retail,North America
Graham-Simon,closed won,69030.97,3/10/2026,2/8/2025,Mark Lopez,Finance,Europe
Schultz-Waller,Qualification,86938.83,9/9/2026,2/2/2025,Jennifer Cox,Technology,Asia
Hall-Sparks,QUALIFICATION,51922.1,9/8/2026,4/30/2025,Brittany Chaney,Technology,South America
Jimenez Ltd,Closed Lost,98605.25,5/10/2026,4/28/2025,Kathleen Harris,Finance,South America
,Proposal,19083.22,3/7/2026,4/8/2025,Jason Hudson,Finance,North America
Ramirez PLC,proposal,27845.55,10/10/2026,3/10/2025,Martin Johnston,Technology,Asia
Williams Ltd,qualification,"$52,226.00 ",12/9/2025,2/1/2025,James Burke,Healthcare,Asia
"Hoffman, Thomas and Hawkins",closed won,41113.12,10/16/2025,2/26/2025,Rebecca Spence,Retail,North America
Parker-Brown,CLOSED LOST,35826.64,8/13/2026,5/15/2025,Ryan Mann,Healthcare,Asia
Carr PLC,Qualification,10422.46,12/27/2025,2/18/2025,James Burke,Education,Asia
Ramirez PLC,proposal,"$86,357.93 ",5/3/2026,3/24/2025,,,Asia
"Cole, Fischer and Adams",proposal,2387.65,12/30/2025,3/25/2025,Marissa Perry,Manufacturing,Asia
Schroeder and Sons,PROPOSAL,91033.3,12/29/2025,3/5/2025,Amanda Owens,Retail,South America
"Allen, Richardson and Nguyen",proposal,32115.53,7/3/2026,4/30/2025,,,Europe
Tucker and Sons,closed lost,30894.75,10/24/2026,3/15/2025,Jessica Ball,Retail,
"Hoffman, Thomas and Hawkins",closed won,51031.71,5/13/2026,4/13/2025,Jonathan Patterson,Manufacturing,North America
Schroeder and Sons,closed won,93611.31,10/21/2025,3/11/2025,Catherine Ray,Healthcare,Europe
"Patton, Mann and Chen",NEGOTIATION,72593.32,9/1/2026,3/5/2025,Traci Bell DDS,Technology,North America
"Crane, Spears and Adams",Proposal,8265.26,12/31/2026,5/24/2025,James Burke,Healthcare,Europe
Richardson LLC,Closed Won,16542.16,7/5/2026,1/31/2025,Jessica Ball,Retail,
Smith-Moore,Prospecting,61495.05,,4/15/2025,David Potter,Healthcare,Asia
Williams Ltd,closed lost,38065.12,1/1/2026,5/25/2025,Martin Johnston,Finance,North America
"Cole, Fischer and Adams",CLOSED WON,"$66,413.02 ",10/16/2025,1/22/2025,Catherine Ray,Finance,Asia
Carr PLC,Prospecting,89652.75,2/11/2026,5/18/2025,Jennifer Cox,Healthcare,Asia
"Carpenter, Hutchinson and Vance",closed lost,69937.6,12/27/2025,4/1/2025,,Education,South America
Brown-Mcpherson,negotiation,39362.48,12/4/2026,1/5/2025,David Rocha,Healthcare,South America
Knight-Wilcox,proposal,85834.87,10/19/2025,1/11/2025,Bradley Macdonald,,South America
"Marshall, Combs and Johnson",Prospecting,66440.63,10/14/2025,5/18/2025,Jonathan Patterson,Technology,North America
Brown-Black,negotiation,5655.94,6/12/2026,5/6/2025,,Technology,Asia
"Sexton, Williams and Solis",,38921.19,12/8/2026,2/1/2025,Yvette Griffith,Manufacturing,Europe
Lyons Inc,Negotiation,47050.48,11/15/2025,3/8/2025,Alexandra Ramos,Healthcare,South America
"Palmer, Sloan and Clark",Closed Won,"$81,878.21 ",3/14/2026,2/15/2025,Miss Dorothy Collins DVM,Education,North America
"Oliver, Beltran and Anderson",closed lost,84108.75,,5/13/2025,Rebecca Spence,Education,South America
,proposal,21574.04,10/9/2025,3/19/2025,Yvette Griffith,Education,Europe
"Davis, Woods and Lewis",Proposal,28158.39,11/6/2026,2/28/2025,David Rocha,,South America
Harrell and Sons,QUALIFICATION,99920.12,12/9/2025,3/27/2025,Jennifer Cox,Education,
Tyler Group,Negotiation,86399.32,10/31/2025,4/23/2025,Traci Bell DDS,Technology,North America
Ramirez PLC,Closed Won,46995.18,2/11/2026,4/19/2025,Bradley Macdonald,Technology,North America
Pineda Ltd,Proposal,35342.84,12/20/2026,3/18/2025,Richard Warren,Healthcare,South America
